Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Jamaica,JAM,2024,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,50755510.1867379
Jamaica,JAM,2023,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,50756619.679606
Jamaica,JAM,2022,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,50756619.679606
Jamaica,JAM,2021,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,50756619.679606
Jamaica,JAM,2020,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,50756619.679606
Jamaica,JAM,2019,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,50756619.679606
Jamaica,JAM,2018,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,51170096.176751
Jamaica,JAM,2017,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,51414871.8187211
Jamaica,JAM,2016,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,50756619.679606
Jamaica,JAM,2015,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,50756619.679606
Jamaica,JAM,2014,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,50762247.769606
Jamaica,JAM,2013,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,55850569.2946061
Jamaica,JAM,2012,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,60119539.6346805
Jamaica,JAM,2011,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,47410236.7309668
Jamaica,JAM,2010,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,36279447.7309668
Jamaica,JAM,2009,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,44823553.9509668
Jamaica,JAM,2008,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,48152311.8709668
Jamaica,JAM,2007,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,60382721.6995946
Jamaica,JAM,2006,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,11164167.27
Jamaica,JAM,2005,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,10954140.74
Jamaica,JAM,2004,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,9082033
Jamaica,JAM,2003,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,10800000
Jamaica,JAM,2002,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,32100000
Jamaica,JAM,2001,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,38300000
Jamaica,JAM,2000,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,41000000
Jamaica,JAM,1999,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,40500000
Jamaica,JAM,1998,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,30000000
Jamaica,JAM,1997,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,27600000
Jamaica,JAM,1996,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,27900000
Jamaica,JAM,1995,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,19400000
Jamaica,JAM,1994,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,10500000
Jamaica,JAM,1993,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,3200000
Jamaica,JAM,1992,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,2700000
Jamaica,JAM,1991,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,9400000
Jamaica,JAM,1990,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,7100000
Jamaica,JAM,1989,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,11500000
Jamaica,JAM,1988,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,7900000
Jamaica,JAM,1987,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,6800000
Jamaica,JAM,1986,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,2000000
Jamaica,JAM,1985,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,1900000
Jamaica,JAM,1984,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,1600000
Jamaica,JAM,1983,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,1200000
Jamaica,JAM,1982,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,7500000
Jamaica,JAM,1981,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,1000000
Jamaica,JAM,1980,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,900000
Jamaica,JAM,1979,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,4900000
Jamaica,JAM,1978,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,3000000
Jamaica,JAM,1977,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,1400000
Jamaica,JAM,1976,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,4500000
Jamaica,JAM,2024,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,6105850.59
Jamaica,JAM,2023,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,4244996.78
Jamaica,JAM,2022,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,4769937.21
Jamaica,JAM,2021,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,5406746.27
Jamaica,JAM,2020,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,4643968.35
Jamaica,JAM,2019,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,8082365.95
Jamaica,JAM,2018,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,5293969.83
Jamaica,JAM,2017,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,4886313.12817362
Jamaica,JAM,2016,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,5297927.73
Jamaica,JAM,2015,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,5521533.22
